rel,path,N_per_p,n_items,method,coverage,coverage_corrected,mean_se,mean_se_corrected,power,power_corrected,raw_rsb,raw_rsb_corrected,rb,rb_corrected,rmse,rmse_corrected,sb,sb_corrected,type1,type1_corrected,N,N_lab,path_lab,rel_lab
0.7,0,100,10,rel,0.934,0.934,0.04253717799588533,0.042540598988274586,0.06599999999999995,0.06599999999999995,-0.036814609358838624,-0.0367371465358195,-2.5323663868016946e-4,-2.5323663868016946e-4,0.044141661783407886,0.044141661783407886,-0.005734132874903167,-0.005734132874903167,0.066,0.066,1000,italic(N) == 1000,\beta_{xm} == 0,rho == 0.7
0.7,0,100,10,tspa,0.934,0.934,0.04252409448299194,0.042530304345088664,0.06599999999999995,0.06599999999999995,-0.037110985713482036,-0.036970373477857366,-2.532372635379805e-4,-2.532372635379805e-4,0.04414166735350077,0.04414166735350077,-0.005734146300663214,-0.005734146300663214,0.066,0.066,1000,italic(N) == 1000,\beta_{xm} == 0,rho == 0.7
0.7,0,100,20,gsam,0.001,NA,0.03673621243584466,NA,0.999,NA,-0.6345421056409485,NA,0.2928322834529611,NA,0.30958863655441016,NA,2.913143805937147,NA,0.999,NA,2000,italic(N) == 2000,\beta_{xm} == 0,rho == 0.7
0.7,0,100,20,joint,0.001,NA,0.02310949633795746,NA,0.999,NA,-0.7715832681313202,NA,0.2950630379389242,NA,0.31190998581449836,NA,2.916434604875091,NA,0.999,NA,2000,italic(N) == 2000,\beta_{xm} == 0,rho == 0.7
0.7,0,100,20,lsam,0.001,NA,0.03673621254010904,NA,0.999,NA,-0.6345421020689255,NA,0.2928322841765757,NA,0.3095886370127086,NA,2.913143833341094,NA,0.999,NA,2000,italic(N) == 2000,\beta_{xm} == 0,rho == 0.7
0.7,0,100,20,rel,0.944,0.944,0.028313523081939993,0.02831413916171436,0.05600000000000005,0.05600000000000005,-0.020324826012994124,-0.02030350905931111,0.0013390899351855817,0.0013390899351855817,0.028917496794994356,0.028917496794994356,0.04633380174698118,0.04633380174698118,0.056,0.056,2000,italic(N) == 2000,\beta_{xm} == 0,rho == 0.7
0.7,0,100,20,tspa,0.944,0.944,0.028310122548577468,0.02831107719299854,0.05600000000000005,0.05600000000000005,-0.02044262553782039,-0.020409593925857394,0.0013390899766977384,0.0013390899766977384,0.02891750085602692,0.02891750085602692,0.04633379666555238,0.04633379666555238,0.056,0.056,2000,italic(N) == 2000,\beta_{xm} == 0,rho == 0.7
0.9,0,6,5,gsam,0.028,NA,0.11777516584175735,NA,0.972,NA,-0.20151783429198522,NA,0.7516714241648906,NA,0.7659922138646785,NA,5.096118713807909,NA,0.972,NA,30,italic(N) == 30,\beta_{xm} == 0,rho == 0.9
0.9,0,6,5,joint,0.014,NA,0.0869243491271432,NA,0.986,NA,-0.4124929375450288,NA,0.7515186306306518,NA,0.7659300970460357,NA,5.079388082805051,NA,0.986,NA,30,italic(N) == 30,\beta_{xm} == 0,rho == 0.9
0.9,0,6,5,lsam,0.028,NA,0.1177751684452129,NA,0.972,NA,-0.20151823578764816,NA,0.7516713578983155,NA,0.7659921637312676,NA,5.0961155894397425,NA,0.972,NA,30,italic(N) == 30,\beta_{xm} == 0,rho == 0.9
